title,date,content
Indonesia muốn cạnh tranh xuất khẩu giày dép với Việt Nam tại EU,"Thứ sáu, 26/1/2024, 14:41 (GMT+7)","Bộ trưởng Điều phối vấn đề kinh tế Indonesia Airlangga Hartarto cho biết Việt Nam hiện có Hiệp định thương mại với Liên minh châu Âu (EVFTA), điều mà nước này để mắt trong nhiều năm.
Hiệp định EVFTA đã loại bỏ 99% các mức thuế, mở đường cho nhiều hàng hóa, đặc biệt là giày dép của Việt Nam thâm nhập thị trường châu Âu.
""Giày dép của chúng ta phải đối mặt với thuế nhập khẩu 20% khi xuất sang châu Âu cũng như Mỹ, trong khi đối thủ cạnh tranh là Việt Nam được hưởng thuế bằng 0"", Bộ trưởng Airlangga nói tại Hội nghị Bàn tròn các nhà đầu tư ở Cirebon (thành phố ở Tây Nam Indonesia) hôm thứ Tư.
Hiệp định EVFTA giữa Việt Nam và EU có hiệu lực năm 2020. Giày dép là một trong những mặt hàng xuất khẩu chủ lực của Việt Nam sang thị trường này.
Cơ quan quan sát độ phức tạp kinh tế (OEC) xếp các thành viên EU là Đức và Bỉ thuộc nhóm top 5 điểm đến xuất khẩu giày dép của Việt Nam vào 2021. Tổng kim ngạch xuất khẩu giày dép của Việt Nam trong năm này đạt 19,9 tỷ USD. OEC cho biết xuất khẩu giày dép của Indonesia chỉ bằng một phần nhỏ của Việt Nam. Năm 2021, nước này xuất khẩu được 5,8 tỷ USD, trong đó, giá trị xuất sang Đức và Bỉ lần lượt là 505 triệu USD và 284 triệu USD (của Việt Nam là 1,04 tỷ USD và 722 triệu USD).
Indonesia đã đàm phán Hiệp định đối tác kinh tế toàn diện (CEPA) với EU từ năm 2016. Hai bên đã kết thúc vòng đàm phán thứ 16 và sẽ tổ chức cuộc gặp tiếp theo vào tháng tới. Chính phủ nước này rất muốn kết thúc các cuộc đàm phán CEPA trong năm nay. ""Đây là một hiệp định thương mại rất quan trọng để mở ra khả năng tiếp cận thị trường"", Bộ trưởng Airlangga nói.
Đức Minh (theo Jakartaglobe)"
Xuất khẩu tôm sang Trung Quốc có thể phục hồi,"Thứ sáu, 26/1/2024, 06:47 (GMT+7)","2023 là một năm ngành tôm Việt đối diện nhiều thách thức. Số liệu của Hiệp hội Chế biến và Xuất khẩu thủy sản Việt Nam (VASEP) cho biết giá trị xuất khẩu tôm chỉ đạt 3,4 tỷ USD, giảm 22%. Theo xu hướng này, xuất khẩu tôm sang Trung Quốc cũng sụt giảm dù mức giảm thấp nhất (8%) trong số các thị trường nhập khẩu chính (Mỹ giảm 15%, Nhật giảm 24%, EU giảm 39%).
Trên thực tế, nhu cầu nhập khẩu tôm của nước tỷ dân vẫn tăng mạnh nhưng do có quá nhiều nguồn cung (đơn cử từ Ấn Độ, Ecuador) đổ vào thị trường này nên tôm Việt khó cạnh tranh về giá. Dù vậy, VASEP cho biết nhờ vị trí địa lý gần, các doanh nghiệp Việt sang Trung Quốc lại có lợi thế về chi phí vận tải. Đặc biệt, căng thẳng trên Biển Đỏ khiến cước vận tải biển tăng, có thể khiến Ecuador giảm xuất khẩu sang Trung Quốc, tạo cơ hội cho tôm Việt. Trong các tháng đầu 2024, VASEP dự báo xuất khẩu tôm sang thị trường này có thể phục hồi nhẹ.
Tương tự Trung Quốc, xuất khẩu tôm cũng dự kiến thuận lợi tại Mỹ, Nhật Bản. Thị trường Mỹ được dự báo tăng nhẹ khi nhu cầu ăn uống cải thiện, lạm phát hạ nhiệt và doanh số bán lẻ tại nước này phục hồi. Tuy nhiên, VASEP cũng lưu ý việc Hiệp hội Chế biến tôm Mỹ gần đây đã nộp đơn đề nghị điều tra thuế chống trợ cấp với tôm Việt. Kết quả hiện chưa rõ, nhưng tôm Việt vẫn bị ảnh hưởng trong nửa đầu năm nay, bên cạnh những chướng ngại vật từ căng thẳng trên Biển Đỏ.
Với Nhật Bản, thị trường này được đánh giá có nhiều tiềm năng phục hồi sớm hơn so với Mỹ, EU trong 2024. Nguyên nhân, người tiêu dùng Nhật yêu cầu sản phẩm phải ngon, bổ, đẹp mắt, chế biến cầu kỳ, phù hợp với trình độ, năng lực chế biến của Việt Nam. Các sản phẩm tôm phổ biến từ Việt Nam xuất sang Nhật như tôm bao bột, duỗi, chiên, sushi. Hiện tôm Việt vẫn giữ được lợi thế cạnh tranh tốt trên thị trường này. Ngoài ra, Nhật Bản có vị trí địa lý gần hơn so với Mỹ, EU và phương thức thanh toán cũng an toàn hơn.
Ngược lại, với những bất ổn về kinh tế, chính trị, thị trường EU sẽ chưa thể phục hồi trong phần lớn 2024. Tuy nhiên, dự kiến nhu cầu tôm tại khu vực này sẽ giữ ở mức ổn định, không giảm thêm.
VASEP nói, đà phục hồi cho xuất khẩu tôm nhìn chung sẽ còn đối diện với nhiều cam go, đòi hỏi các doanh nghiệp phải nỗ lực hơn để vượt khó. Dự kiến kim ngạch xuất khẩu ngành tôm sẽ đạt khoảng 4 tỷ USD trong 2024, tăng 5% so với năm ngoái.
Đức Minh"
'Nhà nước không nhất thiết độc quyền vàng miếng',"Thứ năm, 25/1/2024, 18:03 (GMT+7)","""Trước tình trạng mất cân đối cung cầu, giá có lúc chênh với thế giới tới 20 triệu đồng, cần nghĩ tới chuyện thay đổi, sửa quy định và Nhà nước không nhất thiết độc quyền về một thương hiệu vàng miếng"", ông Hoàng Văn Cường, Ủy viên Ủy ban Tài chính ngân sách (Quốc hội), nói tại tọa đàm về thị trường vàng, do Cổng Thông tin điện tử Chính phủ tổ chức hôm nay.
Do chủ trương chống vàng hóa nên từ năm 2014, Ngân hàng Nhà nước không nhập vàng về để sản xuất vàng miếng, khiến nguồn cung vàng giảm. Ngân hàng Nhà nước lấy SJC là thương hiệu vàng miếng quốc gia.
Ông Hoàng Văn Cường phân tích, với tâm lý tích trữ của người dân, cung vàng không có, trong khi cầu có thực, nên dẫn tới tình trạng mất cân đối cung - cầu, đẩy giá kim loại quý tăng cao.
Điều này cũng dẫn tới bất cập khác của thị trường là liên thông giữa trong nước và thế giới. Do không có quan hệ xuất nhập khẩu vàng, thị trường kim loại quý trong nước và thế giới không cân bằng, dẫn tới tình trạng giá thế giới tăng ít, trong nước đã lên rất cao.
Bên cạnh đó, quy định thương hiệu vàng miếng quốc gia, theo Phó hiệu trưởng Đại học Kinh tế Quốc dân, cũng dẫn tới bất bình đẳng giữa các thương hiệu vàng khác trong nước. ""Giá chênh lệch giữa vàng SJC và thế giới dẫn tới thiệt hại về mặt xã hội"", ông nói, và cho rằng đã tới lúc cần xem lại các quy định về việc độc quyền vàng nữa hay không.
""Nên xem xét cho phép nhiều doanh nghiệp tham gia vào sản xuất vàng miếng để đáp ứng nhu cầu thị trường. Khi cung được tự do, cạnh tranh bình đẳng thì người dân tiếp cận vàng tích lũy dễ hơn và không còn tình trạng khan hiếm nữa"", ông Hoàng Văn Cường nhận xét.
Quan điểm không nên duy trì độc quyền một thương hiệu vàng miếng quốc gia cũng nhận được đồng tình của các chuyên gia. ""Cần xem lại cách thức quản lý thị trường vàng hiện nay"", ông Nguyễn Thế Hùng, Phó chủ tịch Hiệp hội Kinh doanh vàng Việt Nam góp ý.
Theo ông, việc duy trì độc quyền vàng miếng SJC dẫn đến sự chênh lệch rất lớn về giá vàng, người dân không được hưởng lợi. ""Nếu chúng ta quan niệm vàng là một loại hàng hóa giống các nước trên thế giới, Ngân hàng Nhà nước không cần quản lý trực tiếp thị trường vàng"", ông Hùng nói.
Chưa kể, việc không cho phép nhập khẩu vàng nguyên liệu cũng tạo ""đất"" cho buôn lậu mặt hàng này.
Những ngày cuối năm 2023, giá vàng miếng liên tục nhảy múa. Trong khi vàng nhẫn, nữ trang ổn định trong khoảng 63-64 triệu đồng mỗi lượng, giá vàng miếng SJC có lúc vọt lên mức kỷ lục hơn 80 triệu đồng mỗi lượng. Những ngày sau đó, giá vàng miếng liên tục tăng giảm, thậm chí trong vài giờ và chênh lệch so với thế giới vọt lên 20 triệu đồng. Biên độ mua - bán cũng bị đẩy lên 4-6 triệu đồng, thể hiện mức độ biến động cao của thị trường.
Thủ tướng đã chỉ đạo Ngân hàng Nhà nước điều hành, không để giá vàng nước chênh cao với thế giới. Bộ Công Thương, Công an và Tài chính được Ngân hàng Nhà nước đề nghị phối hợp thanh tra hoạt động mua bán vàng miếng, vàng nguyên liệu.
Minh Sơn"
Giá xăng tăng gần 1.000 đồng một lít,"Thứ năm, 25/1/2024, 14:30 (GMT+7)","Theo điều hành của liên Bộ Công Thương - Tài chính hôm nay, giá xăng RON 95-III (loại phổ biến trên thị trường) tăng 920 đồng, lên mức 23.400 đồng một lít; E5 RON 92 tăng 760 đồng, lên 22.170 đồng một lít.
Tương tự, các mặt hàng dầu cũng tăng giá (trừ dầu mazut) và có giá mới 20.540 - 20.370 đồng một lít so với cách đây 7 ngày.
Giá xăng, dầu sau thay đổi như sau:
Đơn vị: đồng/lít hoặc kg, tùy loại
Đây là lần thứ 3 từ đầu năm, giá xăng trong nước tăng giá. Kỳ điều hành hôm nay, liên Bộ tiếp tục không trích, chi sử dụng từ Quỹ bình ổn giá xăng dầu.
Nhà điều hành cho biết thị trường xăng dầu thế giới 7 ngày qua tăng do chịu tác động từ căng thẳng leo thang tại Trung Đông, nguồn cung xăng dầu tại Mỹ thắt chặt trong bối cảnh thời tiết lạnh gây gián đoạn sản xuất đã đẩy lực mua trên thị trường, tăng 4,5-5%.
Chẳng hạn, bình quân giá thành phẩm xăng dầu 7 ngày với RON 95 là 98,45 USD một thùng, tăng gần 5%. Dầu diesel cũng đắt thêm gần 1%, lên 101,65 USD một thùng. Riêng dầu mazut giảm về 432,02 USD mỗi tấn."
Gần triệu đồng một quả sầu riêng xuất đi Trung Quốc dịp Tết,"Thứ năm, 25/1/2024, 14:20 (GMT+7)","Vừa xuất bán vườn sầu riêng cho thương lái dịp cận Tết, chị Oanh ở Tiền Giang cho biết lần đầu bán xô (gồm cả loại lớn lẫn nhỏ) cả vườn với giá 140.000 đồng mỗi kg. ""Với hơn 1 tấn sầu riêng trái vụ, tôi thu được 140 triệu đồng"", chị Oanh nói.
Theo chị Thanh, thương lái tại các tỉnh miền Tây, sầu riêng tăng giá liên tục một tuần qua. Trong ngày, sáng, trưa và chiều có giá mua khác nhau. Nhất là với sầu riêng Monthong, có bao nhiêu hàng, chị đều thu hết với giá cao.
""Có ngày tôi mua được 1-2 tấn nhưng có hôm không được tấn nào vì hàng trái vụ khá khan hiếm, số thương lái đi mua lại tăng gấp 2-3 lần so với năm ngoái"", chị Thanh cho hay.
Ghi nhận tại kho của các doanh nghiệp miền Tây cho thấy, giá sầu riêng Monthong loại A (trọng lượng 2-5 kg) là 178.000-185.000 đồng. Với mức này, mỗi quả sầu riêng nặng 5 kg có giá gần một triệu đồng, tăng 23% so với tháng 12/2023 và tăng 50% so với chính vụ năm ngoái. Tương tự, sầu riêng Ri 6 loại A từ 125.000-135.000 đồng một kg.
Đại diện Công ty đầu tư phát triển Vạn Hòa cho biết giá sầu riêng biến động liên tục do thị trường Trung Quốc có nhu cầu cao. Các đơn đặt hàng lớn nhưng nguồn cung nhỏ giọt càng đẩy giá tăng mạnh.
""Thời điểm trước, thương lái chở hàng tới kho bán, nay kho muốn có hàng lấp đầy container buộc phải xuống tận nhà vườn thăm và thu mua nhưng cũng không đủ đáp ứng đơn đặt hàng"", đại diện doanh nghiệp này nói.
Theo ông Đặng Phúc Nguyên, Tổng thư ký Hiệp hội Rau quả Việt Nam, sầu riêng là loại trái cây được Trung Quốc ưa chuộng. Đặc biệt, nhu cầu biếu tặng dịp Tết ở Trung Quốc cao khiến chúng rất hút hàng. Thời điểm này, sầu Thái hết vụ nên hàng Việt ""một mình một chợ"". Trong khi đó, nguồn cung hàng trái vụ số lượng hạn chế. Do đó, dự báo giá sầu riêng còn tiếp tục tăng khi nguồn cung khan hiếm.
Dữ liệu từ Tổng cục Hải quan cho thấy năm 2023, kim ngạch xuất khẩu rau quả tăng chủ yếu nhờ xuất khẩu quả sầu riêng tăng cao. Tính chung năm ngoái, xuất khẩu quả này đạt 2,1 tỷ USD, tăng 1,82 tỷ USD so với năm 2022. Trong đó, riêng sầu riêng xuất sang Trung Quốc với 2,03 tỷ USD, chiếm 99,4% tổng trị giá xuất khẩu nhóm hàng này.
Theo dữ liệu từ Tổng cục Hải quan Trung Quốc, xuất khẩu sầu riêng của Việt Nam sang nước này đã tăng từ mức gần 0 lên 4,63% thị phần, đạt 188 triệu USD năm 2022 và tăng vọt lên 31,82% trong 11 tháng đầu năm ngoái.
Sầu riêng đã trở thành loại trái cây cao cấp được tầng lớp trung lưu Trung Quốc ưa chuộng. Chúng cũng thường được mua làm quà biếu dịp Tết, quà tặng cho các cặp đôi trong dịp đính hôn hoặc kết hôn, các bà mẹ chồng tương lai.
Thi Hà"
Nhà vườn TP HCM lo thua lỗ vì mai Tết nở sớm,"Thứ tư, 24/1/2024, 16:35 (GMT+7)","Tất bật chăm sóc vườn mai hơn 2.000 cây, ông Huỳnh Văn Hải - chủ vườn mai Sáu Hải (phường Trường Thọ, thành phố Thủ Đức) - buồn bã khi 30% cây trong vườn đã nở hoa. ""Con số này cao gấp 3-4 lần các năm trước"", ông nói.
Trong khi đó, ông Năm, chủ vườn mai cùng địa bàn, cũng cho biết gần 400 cây đang đua nhau trổ hoa, chiếm hơn 40% trên tổng số mai mùa Tết trong vườn.
Nhiều chủ vườn khác ở thành phố Thủ Đức chung tâm trạng lo lắng vì vườn mai mỗi ngày nở bông càng nhiều trong khi còn hai tuần nữa mới đến Tết.
""Năm ngoái, hoa mai nở đúng thời điểm, gia đình tôi lãi cao. Còn năm nay, nhiều cây đã trổ bông gần hết nguy cơ mất trắng"", ông Hải cho hay.
Lý giải nguyên nhân, các nhà vườn cho rằng thời gian qua, TP HCM có thời tiết bất thường, xuất hiện các đợt mưa khiến nhiều cây mai trổ bông sớm. Ngoài ra, nay là năm nhuận nên số ngày canh tác kéo dài, nhiều cây có tỷ lệ đậu bông sớm đã bung nở.
Không chỉ lo thua lỗ vì mai nở sớm, theo các nhà vườn, năm nay sức mua trên thị trường yếu cũng là thách thức lớn.
Ông Sáu Hoàng, ở Thủ Đức cho biết đến nay, giá thuê mai giữ nguyên, thậm chí giảm vì sức mua rất chậm, chỉ bằng 50% so với năm ngoái.
Ngoài ra, người tiêu dùng thắt chặt chi tiêu nên ưu tiên chọn những cây có giá trị thấp, tầm vài ba trăm nghìn đến 5 triệu đồng. Với những cây mai có giá thuê trên 10 triệu đồng, số lượng khách đặt giảm 40% so với năm ngoái. Do đó, nhiều nhà vườn cho biết đang hạ giá thuê 5-10% so với mọi năm để kích cầu.
Với những nhà vườn có mai đang nở sớm, họ khắc phục những chậu này bằng cách vặt bỏ hoa đã nở, số nụ còn lại trên cây được che chắn và dùng kỹ thuật để kìm hãm giúp chúng có thể nở đúng dịp Tết.
Theo báo cáo của Sở Nông nghiệp và Phát triển Nông thôn các tỉnh thành phía Nam, năm nay không chỉ mai Tết mà hầu hết nhà vườn trồng hoa khác cũng đều lo lắng thua lỗ vì sức mua ảm đạm, nhiều hộ tính đến chuyện bỏ nghề.
Tại Đà Lạt - thủ phủ hoa miền Nam - cho biết vụ Tết năm nay, các nhà vườn đã cắt giảm diện tích trồng 10-30%. Thay vào đó, họ tập trung khâu chăm sóc để hoa đạt sản lượng và chất lượng tốt nhất với hy vọng là giá cả dịp cận Tết sẽ nhích hơn.
Thi Hà"
"Ngân hàng tiếp tục hạ giá du thuyền của FLC thêm 2,6 tỷ đồng","Thứ hai, 22/1/2024, 18:52 (GMT+7)","Đây là tài sản được Tập đoàn FLC thế chấp tại Ngân hàng Đầu tư và Phát triển Việt Nam - BIDV chi nhánh Quy Nhơn. Du thuyền này lần đầu được đưa ra đấu giá tháng 11/2022 với giá khởi điểm gần 36 tỷ đồng.
Theo thông báo, phiên đấu giá du thuyền FLC Alabatross sẽ được tổ chức lần thứ 7 vào ngày 29/1 tại TP HCM. Người muốn tham gia đấu giá cần đặt cọc trước khoảng 2,3 tỷ đồng.
Như vậy, sau hơn một năm, du thuyền triệu USD của FLC vẫn ""ế"" khách mua và giá khởi điểm giảm gần 13 tỷ đồng so với lần rao bán đầu tiên.
Du thuyền của FLC thuộc dòng Galeon 660 Fly được đóng tại Ba Lan năm 2017. FLC Albatross có chiều dài thiết kế gần 22 m, rộng hơn 5 m, chiều cao mạn 3,15 m. Du thuyền có 4 phòng ngủ, quầy bar, khu tắm nắng, nơi tổ chức tiệc. Tàu có sức chứa theo đăng ký là 12 người.
Hiện tại, du thuyền được neo tại bến Sa Kê ở phường 13, quận Bình Thạnh, TP HCM do FLC quản lý và bảo quản. Phương tiện này được đăng ký từ tháng 11/2018.
Ngoài du thuyền, sau khi cựu Chủ tịch FLC Trịnh Văn Quyết vướng vào lao lý, các ngân hàng thu hồi một số tài sản đắt tiền khác của ông và doanh nghiệp để bán đấu giá xử lý nợ. Năm ngoái, sau nhiều lần bất thành, hai chiếc xe siêu sang Rolls- Royce của ông Quyết cũng tìm được chủ mới sau khi giá khởi điểm được giảm hàng tỷ đồng.
Anh Tú"
Giá USD tự do vượt 25.000 đồng,"Thứ hai, 22/1/2024, 16:32 (GMT+7)","Các điểm thu mua ngoại tệ trên thị trường nâng mạnh giá mua bán USD thêm gần 200 đồng so với cuối tuần, lên 24.980 - 25.080 đồng một USD.
Nếu so với đầu tháng, mỗi USD chợ đen tăng 260 đồng chiều mua vào và 300 đồng chiều bán ra, tương đương mức tăng 1-1,2%. Nhưng so với vùng giá kỷ lục thiết lập tháng 10/2022, hiện giá đôla Mỹ trên thị trường chợ đen vẫn kém hơn khoảng 250 đồng một USD.
Giá USD tự do tăng mạnh thời gian gần đây và đang tạo cách biệt so với tỷ giá ngân hàng. Ở chiều mua vào, giá USD tự do cao hơn khoảng 600 đồng và chiều bán ra vênh khoảng 400 đồng một USD.
Các chủ cửa hàng giải thích giá đôla Mỹ tăng do nhu cầu cao hơn. Chủ hiệu vàng lớn trên đường Lê Lợi, quận 1 cho biết mấy ngày qua, ngoài thị trường lan truyền thông tin về các doanh nghiệp sắp đến kỳ đáo hạn trả nợ vay ngoại tệ, nên nhiều người tranh thủ mua USD vào vì sợ nguồn đôla khan hiếm.
Diễn biến trên đang ngược chiều với giá USD chính thức. Sáng nay, tỷ giá trung tâm giảm 6 đồng so với cuối tuần trước, ở mức 24.031 đồng. Các ngân hàng thương mại được phép niêm yết giá mua bán USD với biên độ 5% so với tỷ giá trung tâm, tức trong vùng 22.829 - 25.232 đồng.
Giá USD mua bán tại các ngân hàng đầu ngày cũng giảm nhẹ so với cuối tuần. Vietcombank yết tỷ giá tại 24.335 - 24.705 đồng; tỷ giá tại Eximbank là 24.300 - 24.690 đồng.
Chuyên gia của Công ty chứng khoán SSI cho rằng tỷ giá có thể chịu áp lực từ nhu cầu nhập khẩu tăng mạnh giai đoạn trước Tết Nguyên đán và cần được theo dõi thêm. Thông thường, nguồn cung ngoại tệ như kiều hối và giải ngân FDI vẫn có thể bù đắp được nhu cầu nhập khẩu tăng lên này. Trong khi đó, giám đốc ngoại hối của một nhà băng nước ngoài cho biết cung cầu trên thị trường liên ngân hàng vẫn ổn định và không có bất thường.
Chỉ số USD Index đo lường sức mạnh của đồng bạc xanh vài ngày gần đây duy trì trên 103 điểm, cao nhất một tháng qua.
Theo dự báo của Ngân hàng UOB, tiền đồng có thể mạnh lên theo xu hướng chung của các đồng tiền trong khu vực châu Á, tuy nhiên vẫn bị hạn chế do kinh tế tăng trưởng khiêm tốn trong 2024. UOB dự báo tỷ giá USD/VND sẽ giao dịch quanh 24.000 đồng trong quý I năm nay sau đó giảm dần trong các quý tiếp theo.
Trong bối cảnh Cục dự trữ liên bang Mỹ (Fed) ra tín hiệu cắt giảm lãi suất, Techcombank dự báo tỷ giá USD/VND đi ngang trong thời gian nửa đầu năm và có xu hướng giảm nhẹ 2% trong nửa cuối năm theo chỉ số đồng bạc xanh.
Quỳnh Trang"
Xuất khẩu rau quả tăng đột biến tháng đầu năm,"Thứ hai, 22/1/2024, 14:01 (GMT+7)","Số liệu sơ bộ từ Hiệp hội Rau quả công bố dựa trên tính toán từ hải quan . Theo đó, đây cũng là tháng đầu năm có tăng trưởng cao nhất so với các năm trước đây.
Xuất khẩu rau quả tháng đầu năm tăng mạnh do các sản phẩm sầu riêng, chuối, thanh long được Trung Quốc mua nhiều. Hiện, các đợt lạnh liên tục khiến nguồn cung chuối nội địa của Trung Quốc hạn chế. Nhiệt độ xuống thấp, trái chuối trên cây bị bầm đen không bán được. Thị trường Trung Quốc khan hàng giúp hoạt động xuất khẩu chuối Việt Nam thuận lợi hơn.
Ngoài ra, giữa năm, thanh long Trung Quốc dồi dào, nay đang hết vụ. Theo truyền thống, người Trung Quốc rất thích dùng quả thanh long làm vật phẩm thờ cúng trong Tết nên nhu cầu tăng cao. Mùa tiêu thụ thanh long của Việt Nam tại thị trường Trung Quốc thường kéo dài từ đầu năm đến cuối tháng 5 hàng năm.
Ông Nguyên kỳ vọng, năm nay ngoài hoạt động xuất khẩu sầu riêng thuận lợi, việc Trung Quốc mở cửa cho dưa hấu và các loại trái cây đông lạnh và chế biến của Việt Nam sẽ giúp kim ngạch đến 6,5 tỷ USD. Hiện nay chất lượng rau quả Việt Nam ngày càng được nâng cao và bảo đảm các tiêu chí vào nhiều thị trường.
Trong chuyến thăm mới đây của Chủ tịch Tập Cận Bình, phía Trung Quốc cho biết sẽ mở thị trường cho nhiều loại nông sản tiềm năng của Việt Nam, gồm dừa tươi, sản phẩm trái cây đông lạnh, hoa quả có múi, bơ, na, roi của Việt Nam xuất sang nước này. Cũng trong chuyến thăm này, 2 bên đã ký nghị định thư về xuất khẩu dưa hấu.
Ngoài Trung Quốc, Mỹ, EU cũng sắp mở cửa thêm cho nhiều loại trái cây Việt Nam. Nhà chức trách đang đàm phán mở cửa thị trường chanh leo sang Mỹ, Australia; bưởi sang Nhật Bản, Hàn Quốc, Australia, Ấn Độ; sầu riêng sang Ấn Độ.
Khảo sát tại các thủ phủ trái cây thanh long, sầu riêng, chuối của Việt Nam. Hiện giá các sản phẩm này đang tăng cao do nguồn cung giảm. Giá thanh long ruột trắng loại 1 thu mua tại vườn có giá 16.000 đồng một kg. Sầu riêng dao động 90.000-110.000 đồng một kg.
Thi Hà"
'Năm 2024 là thời điểm vàng xuất khẩu online',"Chủ nhật, 21/1/2024, 15:09 (GMT+7)","""Đây là thời điểm vàng để các thương hiệu Việt Nam tiến ra thị trường thế giới"", ông Randolph Ng, Giám đốc khách hàng mới khu vực Đông Nam Á, Australia, Ấn Độ của Google châu Á - Thái Bình Dương nhận định tại ''Diễn đàn Vietnam Brand Scale Up"" vừa diễn ra tại TP HCM.
Thời cơ này, theo ông Randolph Ng, nhờ vào thương mại điện tử xuyên biên giới dự báo tiếp tục phát triển ít nhất 15% mỗi năm các năm tới. Nghiên cứu của Juniper Research (Anh) cho hay quy mô thị trường này năm 2023 ước đạt 1.600 tỷ USD và sẽ vượt 3.000 tỷ USD vào 2028.
Cùng với đó, các nhà sản xuất và thương hiệu Việt Nam đang ""có vị thế rất tốt"" để nắm bắt cơ hội xuất khẩu, theo chuyên gia của Google. Nhiều sản phẩm như may mặc, phụ kiện, nội thất, gia dụng, mỹ phẩm và chăm sóc sức khỏe đã hiện diện các chợ trực tuyến bán lẻ, bán sỉ quốc tế.
Đặc biệt, các thị trường xuất khẩu lớn của Việt Nam đều đang có mức độ thâm nhập về thương mại điện tử xuyên biên giới khá cao. Theo số liệu của nền tảng eMaketer, mức độ thâm nhập của thị trường Mỹ và Trung Quốc là hơn 31%.
Tại châu Âu, tỷ lệ này còn cao hơn, dao động từ trên 33% đến khoảng 51% tại 5 nền kinh tế hàng đầu gồm: Đức, Anh, Pháp, Italy, Tây Ban Nha. Mức độ thâm nhập được tính bằng tỷ lệ người khảo sát cho biết từng mua hàng online nước ngoài trong năm.
Bà Trần Tuệ Tri, Cố vấn Vietnam Brand Purpose, tác giả sách ""Thương hiệu Việt Nam - Thời khắc vàng"" cũng đồng quan điểm đang có ""thời điểm vàng"". Ngoài thị trường phát triển, bà Tri cho rằng cơ hội còn nằm ở các lợi thế sản xuất và tiêu thụ. Trong đó, tài nguyên phong phú và tinh hóa di sản văn hóa là điều kiện có thể tận dụng. Bên ngoài, lượng kiều bào đông đảo cũng là lực lượng ủng hộ.
Ông Đồng Thanh Sơn, Đồng sáng lập thương hiệu mỹ phẩm Abera trải nghiệm được những lợi thế này khi xuất khẩu trực tuyến. Tiếp cận thị trường Mỹ thông qua sàn Shopify, Abera sau đó mở cửa hàng trên Amazon và đạt doanh số triệu USD trong năm đầu tiên, theo ông Sơn.
Thừa nhận thị trường mỹ phẩm online quốc tế cạnh tranh rất cao nhưng ông cho rằng hàng Việt vẫn ""có cửa"" nhờ nguồn dược liệu phong phú và bán hàng trên các sàn là một sân chơi công bằng. ""Tôi nghĩ vài năm nữa sản phẩm 'Made in Vietnam' sẽ phủ sóng toàn cầu"", ông Sơn tự tin.
Cũng tận dụng lợi thế về nguyên liệu và văn hóa bản địa, ông Nguyễn Trung Dũng, Tổng giám đốc Dh Foods, một công ty sản xuất gia vị, đã xuất khẩu sang Mỹ, Nhật, Hàn, Canada, châu Âu sau khi phủ sóng các siêu thị nội địa.
""Ẩm thực Việt Nam bắt đầu phổ biến thế giới, từ phở, bánh mỳ đến bún chả. Món ăn chúng ta đi đến đâu, gia vị Việt Nam đi đến đó"", ông Dũng nói. Nhà sáng lập Dh Foods cho rằng việc nhắm đến các thị trường phát triển là do ưa chuộng sản phẩm nguồn gốc tự nhiên và chấp nhận được giá cao.
Để tận dụng ""thời điểm vàng"", ông Randolph Ng khuyến nghị doanh nghiệp hoạt động đa kênh, bán trên nhiều sàn và cả tìm cách kết nối trực tiếp với người tiêu dùng. Họ có thể tận dụng tiếp thị trực tuyến và tìm kiếm các công cụ hỗ trợ về logistics, thanh toán, chăm sóc khách hàng.
Đồng thời, cần nắm bắt xu hướng. Nghiên cứu của Alibaba chỉ ra tính bền vững tiếp tục là trọng tâm năm nay. Người mua ngày càng đòi hỏi các sản phẩm có nguồn gốc thân thiện môi trường.
Khảo sát của hãng nghiên cứu thị trường Kantar chỉ ra các điểm tương tự. Theo đó, 2 trong 5 ưu tiên hàng đầu của người tiêu dùng toàn cầu khi lựa chọn sản phẩm là thành phần 100% tự nhiên và 100% bao bì tái chế.
Bà Nguyễn Phương Nga, Giám đốc Khối kinh doanh Kantar Việt Nam lưu ý thương hiệu có thể truyền thông về tính bền vững của sản phẩm để hút khách nhưng phải gắn các câu chuyện nguồn gốc, quy trình sản xuất với lợi ích cụ thể cho người mua để đạt hiệu quả.
Ngoài ra, cải tiến mẫu mã, bao bì và liên tục ra mắt sản phẩm mới là cách cạnh tranh, cả với thị trường trong nước lẫn xuất khẩu. Ông Nguyễn Trung Dũng cho hay công ty đang có khoảng 100 loại sản phẩm (SKU), có lúc đỉnh điểm đến 200 SKU. ""Đôi khi ra 2-3 sản phẩm mới một cái thành công. Nhiều sản phẩm cũng để khách hàng dễ lựa chọn. Với xuất khẩu, có sản phẩm không được chuộng ở thị trường này nhưng bán tốt ở thị trường khác"", ông Dũng nêu.
Khảo sát của Kantar Việt Nam cho hay, trong nửa đầu năm 2023, trung bình mỗi ngày có 32 sản phẩm mới ngành tiêu dùng được tung ra thị trường nội địa mỗi ngày, gấp đôi so với năm 2014, với 16 sản phẩm. Người tiêu dùng được cho là ngày càng ít trung thành, yêu thích trải nghiệm cái mới.
""Nếu không đổi mới thì đối thủ đổi mới. Thị trường đang ngày càng cạnh tranh về số lượng sản phẩm mới tung ra mỗi ngày"", bà Nguyễn Phương Nga nhận định.
Dỹ Tùng"
