Tiêu đề báo,Thời gian,Nội dung
Giá sầu riêng hôm nay ngày 18/1/2024: Sầu riêng Ri6 ổn định,"Tháng Một 18, 2024","Theo bà Nguyễn Thị Mai, Trưởng Phòng Trồng trọt – Chi cục Trồng trọt và Bảo vệ thực vật tỉnh Đắk Lắk cho biết, diện tích trồng sầu riêng liên tục tăng nhưng chủ yếu là trồng xen canh. Diện tích cà phê già cỗi cho năng suất thấp nên cần tái canh lớn nhưng theo kỹ thuật, khi tái canh phải chờ 3 năm mới trồng lại vì vậy thời gian này nông dân trồng sầu riêng trước, sau đó xen canh cà phê.
Tại Đắk Lắk, theo Cục Thống kê tỉnh diện tích sầu riêng tính đến cuối 2023 khoảng 30.300 ha, tăng gần 8.000 ha so với năm 2022. Trước tình hình này, UBND tỉnh Đắk Lắk đưa ra nhiều khuyến cáo, nông dân không tự mở rộng diện tích sầu riêng, chanh leo tại vùng mà điều kiện khí hậu, đất đai, tưới tiêu bất lợi. Không tự phát chuyển đổi vườn cà phê trồng xen sầu riêng, hồ tiêu đang hiệu quả sang trồng thuần cây sầu riêng.
Tại Gia Lai, theo ông Đoàn Ngọc Có, Phó Giám đốc Sở NN-PTNT tỉnh Gia Lai cho biết, toàn tỉnh có khoảng 4.200 ha sầu riêng. Theo quy hoạch, đến năm 2030 diện tích sầu riêng mở rộng  đến khoảng 6.000 ha. Tại đây tỉnh cũng khuyến cáo người dân hạn chế mở rộng diện tích sầu riêng một cách ồ ạt tại những vùng có điều kiện đất đai, tưới tiêu nước không phù hợp.
Tại Lâm Đồng, tính đến tháng 9/2023 toàn tỉnh có khoảng 19.700 ha sầu riêng, tăng 6.000 ha so với năm trước đó. Trong đó, 10.800 ha đã thu hoạch năng suất khoảng 115.000 tấn. Với diện tích sầu riêng tăng mạnh, dự kiến đến giai đoạn 2027-2028, từ 19.700 ha sẽ tăng khoảng 225.000 tấn, tăng gấp đôi so với hiện nay."
Giá lúa gạo hôm nay ngày 18/1/2024: Biến động giá lúa,"Tháng Một 18, 2024","Giá lúa gạo hôm nay (18/1) biến động mạnh ở An Giang. Trong đó, giá lúa nàng Hoa 9 được điều chỉnh tăng cao nhất, tới 550 đồng/kg, lên mức 10.100 đồng/kg. Thị trường gạo giao dịch chậm.
mobiAgri khảo sát, giá lúa gạo tại khu vực ĐBSCL như sau:
Tại An Giang, giá lúa tươi IR 50404 tăng 550 đồng/kg, lên mức 9.550 đồng/kg; tương tự, giá lúa nàng Hoa 9 cũng tăng 550 đồng/kg, lên mức 10.100 đồng/kg; giá lúa tươi OM 5451 tăng 400 đồng/kg, đẩy mức thu mua lên 9.750 đồng/kg; giá lúa đài Thơm 8 và lúa OM 18 tăng 200 đồng/kg, lên mức 9.900 đồng/kg; giá lúa tươi Nhật không đổi ở mức 7.900 đồng/kg.
Tại Cà Mau, giá lúa tươi ST25 được điều chỉnh tăng 300 đồng/kg, lên mức 10.800 đồng/kg; trong khi đó giá lúa tươi ST24 giảm 200 đồng/kg, xuống còn 9.400 đồng/kg; giá lúa tươi OM 18 giảm nhẹ 100 đồng/kg, xuống còn 8.100 đồng/kg; giá lúa tươi OM 576 ổn định ở mức 7.400 đồng/kg.
Tại Cần Thơ, giá lúa tươi và lúa khô không đổi 7.800 – 9.500 đồng/kg.
Giá gạo trong nước ngày (18/1) biến động trái chiều ở Cà Mau.
Tại An Giang, giá gạo trầm lắng 17.000 – 26.000 đồng/kg.
Tại Cà Mau, giá gạo OM18 tăng cao 1.000 đồng/kg, lên mức 17.000 đồng/kg; trong khi giá gạo ST24 và ST25 lại quay đầu giảm 1.000 đồng/kg, xuống 21.000 – 27.000 đồng/kg; giá gạo OM 576 đi ngang ở mức 14.500 đồng/kg.
Tại Cần Thơ, giá gạo không ghi nhận thay đổi so với phiên giao dịch gần nhất từ 17.000 – 19.000 đồng/kg.
Trên thị trường xuất khẩu, giá gạo xuất khẩu của Việt Nam tiếp tục ổn định. Theo Hiệp hội Lương thực Việt Nam (VFA), hiện giá gạo xuất khẩu 5% tấm duy trì ở mức 653 USD/tấn; gạo 25% tấm ở mức 633 USD/tấn.
Ấn Độ ban hành các biện pháp hạn chế xuất khẩu gạo để ổn định thị trường trong nước, nguồn cung tại một số quốc gia bị sụt giảm do El Nino đã thúc đẩy nhu cầu tiêu thụ và giá gạo tăng mạnh trong thời gian vừa qua. Việt Nam là một trong những nước hưởng lợi từ diễn biến này của thị trường.
Chỉ trong tháng 11 vừa qua, giá gạo xuất khẩu bình quân của Việt Nam đạt khoảng 667 USD/tấn, tăng 4,1% so với tháng trước và tăng 35,2% so với cùng kỳ năm 2022. Đây cũng là mức giá cao nhất kể từ trước đến nay và cao hơn cả mức giá 665 USD/tấn đối với gạo trắng 5% tấm đang được chào bán trên thị trường.
Theo lãnh đạo Cục Chất lượng – Chế biến và Phát triển thị trường cho biết: sản lượng gạo toàn cầu có thể đạt kỷ lục gần 520 triệu/tấn, đồng thời mức tiêu thụ cũng tiến sát 525 triệu tấn. Trong đó, thế giới sẽ thiếu hụt khoảng 5 triệu tấn gạo trong năm tới. Vậy lượng gạo tồn kho toàn cầu giảm, chỉ còn hơn 160 triệu tấn, vì vậy đây là thời cơ lớn cho ngành hàng lúa gạo Việt Nam."
"Giá cà phê hôm nay 18/01/2024: Rơi mốc 75,000 đồng/kg","Tháng Một 18, 2024","Giá cà phê hôm nay tại thị trường trong nước bất ngờ quay đầu giảm mạnh 2,700 – 2,900 đồng/kg. Cắt đứt đà tăng phi mã sau khi lập được mức đỉnh mới vào ngày hôm qua.
mobiAgri cập nhật giá cà phê mới nhất ngày 18/01/2024.
Sáng nay, giá cà phê trong nước quay đầu giảm sâu 2,700 – 2,900 đồng/kg sau phiên tăng phi mã ngày hôm qua.
Trong đó, giá cà phê ở tỉnh Lâm Đồng giảm mạnh nhất, từ 2,800 – 2,900 đồng/kg. Cụ thể, giá cà phê ở huyện Di Linh giảm 2,900 đồng/kg; xuống mức 70,600 đồng/kg; giá cà phê ở hai huyện Bảo Lộc và Lâm Hà giảm 2,800 đồng/kg, xuống ngưỡng 70,600 – 70,800 đồng/kg.
Khảo sát giá cà phê ở tỉnh Đắk Lắk; Đắk Nông; Kon Tum; Gia Lai; Đồng Nai; Bình Dương và Hồ Chí Minh cùng giảm 2,700 đồng/kg, hiện mức thu mua giảm còn 71,900 – 72,400 đồng/kg.
Sau phiên giao dịch sáng nay, giá cà phê trên hai sàn London và New York đồng loạt giảm mạnh.
Ghi nhận tại sàn giao dịch London, giá cà phê trực tuyến robusta giao tháng 3/2024 điều chỉnh giảm 14 USD/tấn, xuống mức 3156 USD/tấn; giá cà phê giao tháng 5/2024 giảm mạnh 42 USD/tấn, xuống mức 2962 USD/tấn; giá cà phê giao tháng 7/2024 giảm tới 52 USD/tấn, xuống mức 2837 USD/tấn.
Trên sàn giao dịch New York, giá cà phê arabica kỳ hạn giao tháng 3/2024 giảm sâu 6,05 cent/pound, xuống mức 179,20 cent/pound; giá cà phê giao tháng 5/2024 giảm 6,05 cent/pound, xuống mức 176,00 cent/pound; giá cà phê giao tháng 12/2024 giảm 5,95 cent/pound, xuống mức 1757,85 cent/pound.
Trong đó, giá Arabica giảm mạnh do chịu áp lực bán ra của Brazil và đồng nội tệ quốc gia này mất giá.
Với giá cà phê Robusta, dù mức điều chỉnh giảm khá mạnh nhưng vẫn ở ngưỡng cao do mối lo ngại nguồn cung gián đoạn. Vừa qua, nhóm Houthi đã bắn tên lửa đạn đạo chống hạm vào một tàu chở hàng của Mỹ tại khu vực Biển Đỏ, việc này khiến cho tình hình càng thêm căng thẳng.
Hơn nữa, giá Robusta còn có sự hỗ trợ từ nguồn cung Việt Nam, khi nhà sản xuất hàng đầu ít tham gia vào các cuộc đàm phán kinh doanh trong kỳ nghỉ Tết Nguyên Đán sắp tới.
Theo dữ liệu Báo cáo thị trường tháng 11/2023 của ICO cho thấy, nhu cầu cà phê toàn cầu khoảng 10,4 triệu tấn trong niên vụ 2022/2023, phần lớn được bù đắp từ tồn kho vụ cũ mang sang. Theo đó, sự gián đoạn nguồn cung sẽ khiến giá nông sản này tăng vọt là điều không thể tránh khỏi."
Giá lúa gạo hôm nay ngày 17/1/2024: Tăng mạnh ở Sóc Trăng,"Tháng Một 17, 2024","Giá lúa gạo hôm nay (17/1) tại thị trường trong nước tăng từ 50 – 1.500 đồng/kg. Trong đó, giá lúa khô ST25 tăng 1.500 đồng/kg, lên mức 12.600 đồng/kg được ghi nhận tại Sóc Trăng. Giá gạo nếp Sáp giảm mạnh 400 đồng/kg, xuống mức 19.800 đồng/kg.
mobiAgri cập nhật giá lúa gạo mới nhất tại khu vực ĐBSCL như sau:
Ở Sóc Trăng, giá lúa khô ST25 được thương lái thu mua tại vựa tăng vọt 1.500 đồng/kg, lên mức 12.600 đồng/kg; giá lúa khô IR 50404 tăng 400 đồng/kg, đẩy mức thu mua lên 10.600 đồng/kg; giá lúa khô Đài Thơm 8 và lúa khô OM 18 tăng nhẹ 50 đồng/kg, lên 11.100 đồng/kg. Trong khi đó, giá lúa khô OM 5451 không đổi ở mức 10.800 đồng/kg.
Giá lúa tươi ST25 tăng 500 đồng/kg, đẩy mức thu mua lên 11.500 đồng/kg; giá lúa tươi RVT tăng 350 đồng/kg, lên mức 9.450 đồng/kg; giá lúa tươi Đài Thơm 8 và lúa tươi OM 18 tăng 50 đồng/kg, lên mức 10.000 đồng/kg, giá lúa tươi OM 5451 ổn định ở mức 9.700 đồng/kg.
Ở Tiền Giang, giá lúa khô OM 380 giảm 300 đồng/kg, xuống 8.600 đồng/kg; giá lúa khô Jasmine vàng và lúa khô OM 18, lúa tươi IR 50404 đồng loạt giảm 200 đồng/kg, xuống còn 8.600 – 9.400 đồng/kg. Giá lúa khô IR 50404 đi ngang ở mức 9.000 đồng/kg.
Ở Trà Vinh, giá lúa khô không đổi từ 10.000 – 10.300 đồng/kg.
Giá gạo hôm nay (17/1) tại thị trường trong nước biến động trái chiều.
Ở Sóc Trăng, giá gạo ST25 tăng cao 1.000 đồng/kg, lên mức 34.000 đồng/kg; giá gạo thường ở mức 16.000 đồng/kg.
Ở Tiền Giang, giá gạo 108 tăng 200 đồng/kg, lên mức 15.000 đồng/kg; tương tự, giá gạo SaRi hạt nhỏ tăng 200 đồng/kg, lên mức 16.400 đồng/kg, trong khi giá gạo nếp Sáp lại quay đầu giảm mạnh 400 đồng/kg, xuống còn 19.800 đồng/kg. Giá gạo T 164 và gạo xuất khẩu 5% tấm giảm nhẹ 100 đồng/kg, xuống 14.500 – 15.400 đồng/kg. Các chủng gạo còn lại đi ngang 10.400 – 22.500 đồng/kg.
Trên thị trường xuất khẩu, giá gạo xuất khẩu của Việt Nam tiếp tục ổn định. Theo Hiệp hội Lương thực Việt Nam (VFA), giá gạo 25% tấm duy trì ở mức  618 USD/tấn, giá gạo 5% tấm giữ ổn định ở mức 653 USD/tấn."
Giá cà phê hôm nay 17/01/2024: Tăng phi mã,"Tháng Một 17, 2024","Giá cà phê hôm nay tại thị trường trong nước tăng phi mã, tiếp tục lập mức đỉnh mới 75,000 đồng/kg. Trên thị trường thế giới, giá cà phê Robusta và giá cà phê Arabica cũng tăng mạnh.
mobiAgri cập nhật giá cà phê mới nhất ngày 17/01/2024.
Trên thị trường thế giới, giá cà phê trực tuyến Robusta tại sàn London và giá cà phê trực tuyến Arabica giao dịch tại New York đồng loạt tăng mạnh.
Trong đó trên sàn giao dịch London, giá cà phê trực tuyến robusta giao tháng 3/2024 tăng mạnh 183 USD/tấn, vọt lên mức 3170 USD/tấn; giá cà phê giao tháng 5/2024 tăng mạnh 142 USD/tấn, đạt mức 3004 USD/tấn; giá cà phê giao tháng 7/2024 tăng 112 USD/tấn, đạt mức 2889 USD/tấn.
Tại sàn giao dịch New York, giá cà phê arabica kỳ hạn giao tháng 3/2024 ghi nhận tăng 5,25 cent/pound, lên mức 185,25 cent/pound; giá cà phê giao tháng 5/2024 tăng 4,70 cent/pound, lên mức 182,05 cent/pound; giá cà phê giao tháng 7/2024 tăng 4,35 cent/pound, lên mức 181,80 cent/pound.
Hôm nay, giá cà phê thế giới tăng mạnh trên cả hai sàn giao dịch. Trong đó, giá cà phê Robusta giao tháng 3/2024 trên sàn London tăng nóng hơn 6%, kéo giá cà phê trên sàn New York tăng theo.
Các chuyên gia nhận định, nguyên nhân giá cà phê tăng nóng do gián đoạn vận tải qua Biển Đỏ khiến hàng từ Việt Nam, Indonesia, Uganda và Ấn Độ không sang được các nước châu Âu để tiêu thụ. Bên cạnh đó, tồn kho trên sàn London tiếp tục giảm, đầu cơ tranh thủ mua lướt sóng khiến giá Robusta phiên vừa qua tăng đột biến.
Theo thông báo của VSPA, tình trạng leo thang tại khu vực Biển Đỏ khiến các hãng tàu quyết định không đi qua tuyến này mà đi qua Mũi Hảo Vọng, dẫn tới thời gian di chuyển kéo dài hơn 8-21 ngày, đồng thời cước phí vận chuyển đi châu Âu và Hoa Kỳ cũng tăng 4-5 lần.
Hiện tại, các doanh nghiệp đang gặp rất nhiều khó khăn trong việc tìm kiếm các đơn hàng mới. Nguyên nhân do cước phí vận tải tăng cao làm cho giá cả hàng hóa tăng, người mua không chấp nhận giá mới.
Ngoài ra, họ cũng gặp khó khăn về việc các hãng tàu tự động áp thêm phụ phí chiến tranh cho các lô hàng đã được xếp lên tàu từ tháng 12/2023, với mức phí khoảng 1.000-2.700 USD cho cont từ 20-40 feet. Điều này cũng khấu trừ vào giá hàng hóa, đẩy giá cà phê ngày càng tăng mạnh hơn.
Trong khi giá Robusta đang leo lên mức cao kỷ lục thì mưa trái mùa lại đe doạ ngành cà phê của Ấn Độ. Lượng mưa quá mức ở Karmataka và Kerala có thể làm trì hoãn vụ thu hoạch và ảnh hưởng đến năng suất cây trồng."
Giá sầu riêng hôm nay ngày 16/1/2024: Sầu riêng Thái ổn định,"Tháng Một 16, 2024",
"Giá lúa gạo hôm nay ngày 16/1/2024: Giá lúa giảm, giá gạo tiếp tục chững","Tháng Một 16, 2024","Giá lúa gạo hôm nay (16/1) giảm đồng loạt 100 – 300 đồng/kg ở Hậu Giang. Giá gạo không ghi nhận thay đổi so với phiên giao dịch gần nhất.
Tại Hậu Giang, giá lúa tươi ST24 và lúa tươi ST25 giảm 300 đồng/kg, xuống còn 9.200 – 9.500 đồng/kg; giá lúa IR 50404, lúa tươi OM18 và lúa tươi Đài Thơm 8 đồng loạt giảm 200 đồng/kg, xuống từ 8.600 – 9.100 đồng/kg. Giá lúa khô RVT giảm 300 đồng/kg, xuống mức 10.200 đồng/kg; giá lúa khô IR 50404 giảm 200 đồng/kg, tương tự giá lúa khô OM 18, lúa khô Đài Thơm 8 và lúa khô OM 5451 cũng giảm 200 đồng/kg, xuống còn 10.000 – 10.100 đồng/kg.Trong khi đó, giá lúa khô ST24 ổn định ở mức 11.000 đồng/kg.
Tại Bến Tre, giá lúa khô OM 18 tăng nhẹ 100 đồng/kg, lên mức 7.100 đồng/kg. Các chủng loại lúa khô còn lại không đổi dao động từ 6.300 – 8.400 đồng/kg.
Giá gạo hôm nay tại thị trường trong nước duy trì 18.500 – 19.200 đồng/kg.
Trên thị trường xuất khẩu, giá gạo xuất khẩu của Việt Nam tiếp tục ổn định. Theo Hiệp hội Lương thực Việt Nam (VFA), giá gạo 25% tấm loanh quanh ở mức 618 USD/tấn, giá gạo 5% tấm đi ngang ở mức 653 USD/tấn."
"Giá cà phê hôm nay 16/01/2024: Vượt đỉnh 71,000 đồng/kg","Tháng Một 16, 2024","Giá cà phê hôm nay bất ngờ tăng mạnh 600 – 1,000 đồng/kg so với hôm qua, đẩy giá cà phê trong nước vượt mốc 71,000 đồng/kg để xác lập đỉnh mới vào đầu năm 2024.
mobiAgri cập nhật giá cà phê mới nhất ngày 16/01/2024.
Sáng nay, giá cà phê trong nước vọt tăng 600 – 1,000 đồng/kg so với hôm qua, đẩy mức thu mua cao nhất lên mốc 71,700 đồng/kg, chính thức lập đỉnh mới ngay trong nửa đầu tháng 1/2024.
Trong đó, giá cà phê có mức thu mua cao nhất 71,700 đồng/kg được ghi nhận tại Hồ Chí Minh, điều chỉnh tăng 800 đồng/kg so với hôm qua.
Tương tự tại Đồng Nai; Bình Dương, giá cà phê cũng tăng 800 đồng/kg, lần lượt giữ mốc 71.400 và 71,600 đồng/kg.
Tại khu vực Tây Nguyên, giá cà phê tăng không đồng nhất giữa các huyện trong tỉnh. Cụ thể: Giá cà phê ở huyện Ea’Hleo; KrôngNăng; Buôn Hồ (tỉnh Đắk Lắk) tăng 700 đồng/kg, lên mức 71,200 – 71,300 đồng/kg. Trong khi, giá cà phê ở các huyện Cư Mgar; KrôngPăk và Buôn Ma Thuột lại tăng 800 đồng/kg, lên mức 71,400 – 71,500 đồng/kg.
Khảo sát ở tỉnh Đắk Nông; giá cà phê tại huyện ĐắkSông tăng 800 đồng/kg, đạt mức 71,300 đồng/kg; riêng ba huyện Đắk Mil; Đắk Rlap và Gia Nghĩa tăng 700 đồng/kg, lên ngưỡng 71,200 – 71,300 đồng/kg.
Tại hai tỉnh Lâm Đồng và Gia Lai, giá cà phê hôm nay tăng mạnh 700 – 1,000 đồng/kg. Trong đó, giá cà phê ở huyện Di Linh (tỉnh Lâm Đồng) tăng cao nhất, tới 1,000 đồng/kg; đẩy mức thu mua lên 70,300 đồng/kg. Ở các huyện khác như Bảo Lộc; Lâm Hà (tỉnh Lâm Đồng) và huyện IaGrai; Chư Sê; PleiKu; ChưPrông (tỉnh Gia Lai) tăng từ 700 – 800 đồng/kg, đạt ngưỡng 70,000 – 71,300 đồng/kg.
Riêng giá cà phê ở Kon Tum tăng 600 đồng/kg, hiện mức thu mua dao động từ 71,100 – 71,200 đồng/kg.
Giá cà phê trực tuyến Robusta giao dịch tại Lon donTrên thị trường thế giới, giá cà phê trực tuyến Robusta tại sàn London tiếp đà tăng mạnh. Trong khi, giá cà phê trực tuyến Arabica giao dịch tại New York lại đi ngang. Cụ thể:
Tại sàn giao dịch London, giá cà phê trực tuyến robusta giao tháng 3/2024 tăng thêm 48 USD/tấn so với hôm qua, đạt mức 2987 USD/tấn; giá cà phê giao tháng 5/2024 tăng 48 USD/tấn, lên mức 2862 USD/tấn; giá cà phê giao tháng 7/2024 tăng 39 USD/tấn, lên mức 2777 USD/tấn.
Trên sàn giao dịch New York, giá cà phê arabica kỳ hạn giao tháng 3/2024 duy trì ở mức 180,00 cent/pound; giá cà phê giao tháng 5/2024 ổn định ở mức 177,35 cent/pound; giá cà phê giao tháng 12/2024 giữ mức 177,45 cent/pound.
Tổng cục Hải quan cho biết, xuất khẩu cà phê của Việt Nam trong tháng 12/2023 đạt 208 nghìn tấn, trị giá 599 triệu USD, tăng mạnh 74% về lượng và 68% về trị giá so với tháng 11/2023. So với cùng kỳ năm 2022 tăng 5,4% về lượng và 40,8% về trị giá.
Kết thúc năm 2023, Việt Nam đã xuất khẩu hơn 1,6 triệu tấn nông sản này (khoảng 27 triệu bao), giảm 8,7% so với năm 2022 nhưng kim ngạch thu về tăng 4,6%, lên mức kỷ lục hơn 4,24 tỷ USD. Như vậy đây là năm thứ hai liên tiếp kim ngạch xuất khẩu cà phê Việt Nam đạt trên 4 tỷ USD.
Giá xuất khẩu tăng cao là nguyên nhân chủ yếu giúp cho mặt hàng nông sản này đạt kỷ lục mới về kim ngạch dù lượng xuất khẩu giảm. Giá xuất khẩu cà phê của Việt Nam năm 2023 đạt bình quân 2.614 USD/tấn, tăng 14,5% so với năm 2022."
"Giá lúa gạo hôm nay 15/1/2024: Giá lúa giảm, giá gạo ổn định","Tháng Một 15, 2024","Giá lúa gạo hôm nay (15/1) giảm từ 50 – 500 đồng/kg. Trong đó, giá lúa tươi ST24 và lúa tươi ST25 giảm mạnh 500 đồng/kg, xuống còn 10.500 đồng/kg được ghi nhận ở tỉnh Sóc Trăng. Giá gạo tiếp tục đi ngang.
mobiAgri cập nhật giá lúa gạo hôm nay tại khu vực ĐBSCL như sau:
Tại Sóc Trăng, giá lúa tươi ST24 và lúa tươi ST25 giảm 500 đồng/kg, xuống mức 10.500 đồng/kg; giá lúa tươi OM 18, lúa tươi Đài Thơm 8 giảm 100 đồng/kg, xuống còn 9.850 đồng/kg; giá lúa khô OM 18, lúa khô Đài Thơm 8 giảm 50 đồng/kg, xuống 11.000 đồng/kg. Các loại lúa khô còn lại giá không đổi 10.800 – 12.100 đồng/kg.
Tại Cần Thơ, giá lúa ổn định từ 7.800 – 9.500 đồng/kg.
Giá gạo trong nước hôm nay tiếp tục ổn định, cụ thể.
Tại Cần Thơ, giá gạo CLC 4900 tăng mạnh 1.000 đồng, đẩy mức thu mua lên 15.000 đồng/kg; giá gạo Jasmine không đổi ở mức 17,000 đồng/kg.
Tại Sóc Trăng, giá gạo không ghi nhận thay đổi so với phiên giao dịch gần nhất 16.000 – 33.000 đồng/kg.
Trên thị trường xuất khẩu, giá gạo xuất khẩu của Việt Nam tiếp tục đi ngang. Theo Hiệp hội Lương thực Việt Nam (VFA), hiện giá gạo 25% tấm ở mức 618 USD/tấn, trong khi đó gạo 5% tấm giữ ổn định ở mức 653 USD/tấn.
Hiện nay ở Đồng Tháp, giá lúa chất lượng cao được thương lái thu mua tại ruộng lên mức 10.200 đồng/kg và lúa thường IR 50404 lên 9.600-10.000 đồng/kg, người nông dân lãi từ 40-60 triệu đồng/ha.
Vụ lúa Đông Xuân 2023 – 2024, tỉnh Đồng Tháp xuống giống hơn 184.000 ha, đạt trên 95% kế hoạch. Diện tích thu hoạch lúa sớm hơn  6.000 ha, năng suất bình quân hơn 6,4 tấn/ha, nhiều  diện tích đạt từ 7-8 tấn/ha.
Tại Đồng Tháp nông dân chủ yếu số sử dụng giống lúa xác nhận, ưu tiên sử dụng các giống lúa thơm, cao sản chất lượng cao, giống có thời gian sinh tưởng từ 90 – 105 ngày, đáp ứng yêu cầu thị trường, chống chịu với một số đối tượng sâu bệnh. Các giống chủ lực cho vụ lúa năm nay như: lúa Đài Thơm 8, OM 18, OM 5451, OM 4900, Nàng hoa 9.
Đầu vụ lúa Đông Xuân 2022-2023 lúa chất lượng cao giá bán tại ruộng với giá 6.900 đồng/kg; lúa IR50404 bán 6.600 đồng/kg nhưng đến vụ lúa Đông Xuân 2023-2024 lúa chất lượng cao được bán tại ruộng với giá 10.200 đồng/kg; lúa IR 50404 ở mức 10.000 đồng/kg. Do vậy, so với vụ lúa năm ngoái với năm nay nông dân thu lãi khoảng 1,5 lần so với vụ Đông Xuân trước.
Hiện nay, nông dân trồng lúa ở Đồng Tháp được thương lái săn đón thu mua. Thời điểm lúa làm đòng, nhiều thương lái đã tìm đến đặt cọc, tạm ứng tiền trước số lượng không hạn chế với giá cao."
Giá cà phê hôm nay 15/01/2024: Duy trì đi ngang,"Tháng Một 15, 2024","Giá cà phê hôm nay tại thị trường trong nước ổn định. Trên thế giới, giá cà phê kỳ hạn giao tháng 3 tại sàn London tăng nhẹ, các kỳ hạn khác đồng loạt giảm.
mobiAgri cập nhật giá cà phê mới nhất ngày 15/01/2024.
Kết thúc phiên giao dịch sáng nay, giá cà phê kỳ hạn giao tháng 3 trên sàn robusta tiếp đà tăng 1 USD/tấn, trong khi các kỳ hạn giao ngay khác đồng loạt giảm. Cụ thể:
Tại sàn giao dịch London, giá cà phê trực tuyến robusta giao tháng 3/2024 tăng nhẹ 1 USD/tấn, đạt mức 2938 USD/tấn; giá cà phê giao tháng 5/2024 giảm thêm 17 USD/tấn, xuống mức 2814 USD/tấn; giá cà phê giao tháng 7/2024 giảm 16 USD/tấn, xuống mức 2738 USD/tấn.
Trên sàn giao dịch New York, giá cà phê arabica kỳ hạn giao tháng 3/2024 giảm mạnh 4,05 cent/pound, xuống mức 180,00 cent/pound; giá cà phê giao tháng 5/2024 giảm 3,65 cent/pound, xuống mức 177,35 cent/pound; giá cà phê giao tháng 12/2024 giảm 3,60 cent/pound, xuống mức 177,45 cent/pound.
Đầu tháng 1/2024, giá cà phê tại các tỉnh sản xuất ở khu vực Tây Nguyên tiếp tục tăng cao, tiến sát mốc lịch sử mới là 71,000 đồng/kg vào ngày 11/1, vượt qua mức đỉnh cũ là 70.000 đồng/kg đạt được vào năm ngoái. Việc giá cà phê liên tục tăng ngay trong vụ thu hoạch báo hiệu một vụ mùa bội thu của ngành cà phê.
Cục Xuất nhập khẩu (Bộ Công Thương) dự báo năm 2024, ngành cà phê Việt Nam sẽ tiếp tục được hưởng lợi nhờ giá cà phê robusta duy trì ở mức cao, thậm chí có thể lập đỉnh do lo ngại thiếu hụt nguồn cung.
Theo Hiệp hội Cà phê ca cao Việt Nam, niên vụ 2023/2024, sản lượng cà phê của Việt Nam dự kiến sẽ giảm xuống 1,6 – 1,7 triệu tấn, thấp hơn so với mức 1,78 triệu tấn niên vụ 2022-2023.
Cục Xuất nhập khẩu nhận định, năm 2024, có nhiều thông tin trái chiều tác động đến giá cà phê toàn cầu. Trong quý I/2024, giá cà phê robusta và arabica sẽ duy trì ở mức cao do lo ngại thiếu hụt nguồn cung, tồn kho thấp nhất trong 12 năm trở lại đây.
Ông Đỗ Hà Nam – Chủ tịch HĐQT Intimex Group nhận định, với tình hình như hiện nay, chỉ cần đến tháng 4 – 5/2024 là có thể tiêu thụ hết hàng. Trước đó năm 2023, tình hình khan hiếm hàng bắt đầu từ tháng 6, đẩy giá cà phê trong nước tăng cao.
Hiện Châu Âu gần như chỉ trông vào mua cà phê robusta của Việt Nam. Vì vậy, nhiều khả năng giá cà phê nước ta vẫn tiếp đà tăng trong năm 2024, thậm chí cao nhất thế giới."
